date,max_temp,min_temp
2021-08-01,29.1,13.6
2021-08-02,30.5,11.0
2021-08-03,32.2,12.5
2021-08-04,31.1,12.4
2021-08-05,27.9,11.9
2021-08-06,34.1,12.8
2021-08-07,33.2,14.8
2021-08-08,30.2,14.9
2021-08-09,32.4,13.4
2021-08-10,34.5,15.1
2021-08-11,34.6,18.4
2021-08-12,34.8,17.3
2021-08-13,34.0,16.6
2021-08-14,34.3,16.2
2022-08-01,29.8,16.1
2022-08-02,31.4,17.0
2022-08-03,31.9,16.2
2022-08-04,33.0,17.2
2022-08-05,25.0,14.1
2022-08-06,27.4,12.9
2022-08-07,27.9,11.8
2022-08-08,27.5,12.2
2022-08-09,27.4,11.9
2022-08-10,27.5,11.1
2022-08-11,27.3,12.6
2022-08-12,27.5,11.2
2022-08-13,31.2,11.5
2022-08-14,33.0,11.9
2023-08-01,28.0,13.4
2023-08-02,25.5,11.4
2023-08-03,21.9,11.1
2023-08-04,29.7,12.1
2023-08-05,32.5,13.1
2023-08-06,35.0,14.9
2023-08-07,34.8,17.5
2023-08-08,26.5,13.5
2023-08-09,28.0,12.8
2023-08-10,28.3,12.7
2023-08-11,28.5,13.9
2023-08-12,32.0,14.4
2023-08-13,34.0,16.5
2023-08-14,35.5,19.2
2024-08-01,32.8,15.8
2024-08-02,34.0,17.2
2024-08-03,35.2,19.0
2024-08-04,32.2,15.9
2024-08-05,31.3,14.7
2024-08-06,37.8,16.5
2024-08-07,37.0,19.8
2024-08-08,33.2,17.2
2024-08-09,33.9,16.6
2024-08-10,34.3,15.8
2024-08-11,31.4,16.8
2024-08-12,29.1,14.2
2024-08-13,30.7,12.9
2024-08-14,29.8,14.6
2025-08-01,28.7,12.4
2025-08-02,28.9,11.4
2025-08-03,27.2,11.8
2025-08-04,25.1,11.2
2025-08-05,28.1,10.6
2025-08-06,32.7,13.1
2025-08-07,30.7,14.3
2025-08-08,34.5,14.7
2025-08-09,34.0,16.5
2025-08-10,34.1,16.7
2025-08-11,32.6,14.9
2025-08-12,31.9,14.6
2025-08-13,30.0,14.6
2025-08-14,30.0,13.7
